source,category,gender,age_unit,age,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/body-mass-index-for-age/bmi_girls_0-to-13-weeks_zscores.xlsx,age,female,week,0,-0.063100000000000003,13.3363,0.092719999999999997,10.1,11.1,12.2,13.3,14.6,16.100000000000001,17.7
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/body-mass-index-for-age/bmi_girls_0-to-13-weeks_zscores.xlsx,age,female,week,1,0.63190000000000002,13.2113,0.09887,9.5,10.7,11.9,13.2,14.5,15.9,17.3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/body-mass-index-for-age/bmi_girls_0-to-13-weeks_zscores.xlsx,age,female,week,2,0.50819999999999999,13.450100000000001,0.097409999999999997,9.8000000000000007,11,12.2,13.5,14.8,16.2,17.7
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/body-mass-index-for-age/bmi_girls_0-to-13-weeks_zscores.xlsx,age,female,week,3,0.42630000000000001,13.9505,0.09647,10.199999999999999,11.4,12.6,14,15.3,16.8,18.3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/body-mass-index-for-age/bmi_girls_0-to-13-weeks_zscores.xlsx,age,female,week,4,0.36370000000000002,14.4208,0.095769999999999994,10.6,11.8,13.1,14.4,15.8,17.399999999999999,19
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/body-mass-index-for-age/bmi_girls_0-to-13-weeks_zscores.xlsx,age,female,week,5,0.31240000000000001,14.8157,0.095200000000000007,11,12.2,13.5,14.8,16.3,17.8,19.5
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/body-mass-index-for-age/bmi_girls_0-to-13-weeks_zscores.xlsx,age,female,week,6,0.26879999999999998,15.138,0.094719999999999999,11.3,12.5,13.8,15.1,16.600000000000001,18.2,19.899999999999999
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/body-mass-index-for-age/bmi_girls_0-to-13-weeks_zscores.xlsx,age,female,week,7,0.2306,15.4063,0.094310000000000005,11.5,12.7,14,15.4,16.899999999999999,18.5,20.3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/body-mass-index-for-age/bmi_girls_0-to-13-weeks_zscores.xlsx,age,female,week,8,0.1966,15.6311,0.093939999999999996,11.7,12.9,14.2,15.6,17.2,18.8,20.6
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/body-mass-index-for-age/bmi_girls_0-to-13-weeks_zscores.xlsx,age,female,week,9,0.1658,15.8232,0.093609999999999999,11.9,13.1,14.4,15.8,17.399999999999999,19,20.8
